GivenName,Surname,NationalID,MemberType (1-4),TelephoneNumber,AddressID
Daryl,Wallace,302362946,3,2166238411,3417
Heather,Schubert,484801270,3,5152024685,2019
Fran,Magana,219324979,2,2404859810,3955
Ethel,Cuadra,2040996,2,6036405812,4994
Tracy,Townsend,147386380,4,9734605857,4332
Deborah,Adams,165385726,1,2676133293,4225
Thomas,Sanderson,510820628,2,3166918271,1812
Christine,Gibson,8621630,2,8026731043,4943
Anthony,Jordan,540457544,3,5034466552,1505
Cecilia,Goll,330220145,4,8475698365,3230
Gina,Myers,548488519,3,8059171887,1430
Darrell,Williams,680167392,3,7022487149,322
Mark,Cutler,32762354,4,7818219139,4810
Amy,Powell,457478032,4,8326062769,2282
Shawn,Anderson,394504963,2,2627457475,2803
Anthony,Stephens,53328808,2,7188998855,4713
Sara,Bolden,628721927,2,9404842601,755
Gail,Farmer,552089492,3,9492725668,1397
Viola,Newcomb,351964207,2,8156783717,3117
Katrina,Cook,9522317,3,8026985866,4930
Lynn,Payne,667146013,4,2296225449,429
Richard,Massey,636823136,3,2103015065,663
Preston,Campbell,595194738,2,9548106252,1031
Lewis,Phillips,465651374,3,7136124572,2202
Rebecca,Moore,384104299,4,3134863268,2885
Leonard,Halpern,364526254,1,2317446425,3040
Roland,Ahmed,372184102,4,2482299573,2984
Blanca,Deem,292406435,1,3308682136,3470
Jason,Atkins,646448871,2,8015555504,563
Tammy,Munson,94248378,4,7188512204,4569
Carol,Vazquez,68687562,4,5185806330,4666
Julie,Portillo,771383696,2,9045731241,16
Benjamin,Thompson,402631494,3,5022171370,2737
James,Matthew,420709621,2,3344364590,2586
David,Ruffin,364272397,1,2484775731,3042
William,Blalock,629809619,4,9152270314,741
Julia,Miller,567245009,2,3102251894,1240
Daryl,Rios,11668260,3,5088133873,4920
Richard,Mount,478220247,4,5153123411,2067
Joseph,Happel,331665141,4,3097670429,3221
Kristopher,Jackson,400630130,1,6064829507,2755
Jose,Struck,461558310,4,9796967105,2240
Kathleen,Pollard,253682063,1,7707581919,3755
Louise,Hale,152095884,1,8564296727,4302
William,Black,275401754,3,6144725053,3560
Robert,Guthrie,579582611,1,2023225051,1131
Rose,McCarley,204527827,2,2675662855,4089
Jessica,Robles,112442559,4,5165153545,4492
Patrick,Steele,619305705,4,7604074954,836
Travis,Salinas,151481692,3,2019797977,4304
Gail,Allen,213111542,4,3018781058,4035
Evelyn,Rogers,421165447,3,2566609374,2583
David,Giardina,357267709,2,7734103511,3079
Lucio,Mays,321987500,4,6183628205,3276
Allen,Grove,765226603,4,6025773256,91
Hope,Dudley,355544392,2,6306156936,3095
Daisy,Kline,351944800,1,2172412402,3118
Werner,Baker,389134668,4,6088626531,2853
Jimmy,Foster,625290923,3,8183282930,784
Mark,Robertson,643961913,3,8174192620,590
Rebecca,Lloyd,526900336,1,4807776375,1676
Justin,Bologna,148684940,4,9086485210,4321
Dean,Sessoms,587719947,2,6016444691,1115
Carol,Obrien,308507977,2,7652813212,3379
Terri,Mills,589921067,2,8504675786,1100
Chester,Whitaker,655207806,1,8434371591,487
Tracey,Wilkinson,516946028,2,4064718894,1764
Laurel,Roach,563106809,1,2099169226,1280
Carla,Guzman,630166193,4,9368580147,736
Lawrence,Smith,405026976,2,8593620813,2706
Donald,Love,765268062,1,4807329511,90
John,Gifford,116506622,2,2126923144,4475
Marjorie,Hamm,564774452,4,3232822988,1261
Roy,Thomason,296304091,2,9373584067,3457
Charles,Wagner,191826437,1,4847272913,4127
John,Lewis,540381070,2,5037877150,1506
Mary,Flowers,577966551,2,2022513169,1147
Katharine,Clute,529466325,4,8016566216,1645
Kristi,Guerrero,409025852,3,6154322968,2675
Allen,Redding,455486160,1,9794780456,2306
Danny,Parmley,214449645,2,2409251253,4016
Donna,Tedesco,62145606,2,7166233571,4682
Bennie,Solis,770321349,1,3527503779,29
Stacey,Bates,48822561,4,8607996573,4727
Kathleen,Hodges,765141960,2,4806940384,92
Otis,Stamps,397422329,2,7153064200,2780
Eunice,Hess,662019238,1,5042615154,452
Angle,Cohen,644463183,4,8328429594,583
Martin,Fitch,613969644,2,5592765247,884
Domenic,Fowler,418808478,3,2566104132,2606
Mary,Miller,331247243,2,6187725913,3222
Raquel,Crawford,215219694,1,4436696448,4007
Jamie,Hines,449719158,3,2147515213,2364
Maranda,Romero,4167154,3,2073447545,4981
Amy,Villanveva,595707809,3,9042056129,1025
Hattie,Jones,767241620,1,7862934470,65
Jason,Jackson,259499357,4,2294974906,3717
Diane,Fish,426477339,3,6626023718,2529
William,McGeorge,98485876,3,6077270697,4554
Chester,Knudson,647704562,1,8016630200,555
Pamela,Lantz,614920467,2,6615779846,875
Sonia,Hutton,97827296,4,3155959163,4556
Lynn,Lowery,457166593,2,5128633475,2283
Claire,McKeown,527900092,2,4803288960,1665
David,Long,154074341,4,7325168502,4294
Peggy,McAdams,61488614,2,7185218750,4686
Daniel,Ferguson,680188297,1,7754220785,321
Dale,Beam,478312075,2,6415949955,2065
Robert,Rudd,766448223,1,8506336033,72
Antoinette,Jackson,560542510,2,2136337538,1308
Emanuel,Levering,530519766,2,7752698731,1629
Victor,Morgan,215402826,3,3015076412,4003
Richard,Moran,231419397,1,7572993864,3877
Elizabeth,Price,310960861,1,7656975894,3361
Patricia,Noble,523070796,1,3038628409,1710
Charles,Smith,432827125,1,8707407967,2471
Maria,Morgan,552124440,2,6269152423,1396
Julie,Lewis,556860026,4,9169916178,1345
Michael,Nunes,257489502,1,7702252465,3730
Marion,Roberts,352824150,1,6185196973,3113
Beth,Jablonski,454012601,1,2105622055,2322
Angela,Kelliher,680308896,2,7759081495,319
Albert,McIntosh,539105499,4,5098523244,1523
Pete,Vanscyoc,249132680,2,8032405030,3780
Bonny,Graham,23489998,3,9788050074,4855
Christopher,Santana,459135507,4,8067827230,2269
Margaret,Moore,660016175,2,3373948292,461
Byron,Norred,38709793,3,4017825375,4782
Charles,Sandoval,279805464,3,4192690828,3538
Jeffrey,Bowen,358627903,4,8478858204,3074
Marilyn,Anderson,694035217,4,7039179704,206
Raymon,Frye,563062064,2,4082582946,1281
David,Cross,422944323,2,2567120715,2566
Michael,Zapien,458600483,4,8324893840,2272
Jessica,Vincent,508867408,2,4027610435,1830
Joseph,Vanatta,509786040,3,6207143344,1817
John,Hill,456558408,2,8174027403,2293
Dominique,Long,593408396,4,4072578316,1055
William,Velez,680365548,4,7026816598,316
Enid,Fields,482087152,4,3199837227,2040
Rebecca,Alford,678093979,2,8707597302,341
Ruth,Brown,86011482,2,6319881390,4602
William,Gatlin,593484457,4,7723709140,1053
Steve,Bowden,367269582,3,9899056994,3012
Mark,Torres,318149207,2,6304025782,3296
Nancy,Roberts,333011672,2,6305150816,3214
Arlene,Laplante,266646392,3,3526360707,3634
Kyle,Short,529906087,2,8018208012,1640
John,Hayes,503886380,3,6058352890,1871
Janie,Culver,526451127,2,5204137346,1682
Frances,Hitch,459461630,2,3613162879,2266
Karen,Delacruz,516747178,2,4067232216,1766
Michael,Bowling,141049581,4,7327099551,4370
Mattie,Glass,692035366,4,7033089668,220
Aletha,Hawkins,441282757,4,9187186769,2427
Marcia,Carter,635984855,4,7135461933,672
Beverly,Kane,33648718,3,5089306929,4806
Ron,Amar,389199901,2,6083133685,2852
Dorothy,Carlson,166446852,2,8142271262,4219
Tracy,Pelley,288040934,2,3303540778,3500
Kathy,Main,227316495,4,5712831199,3909
Colleen,Douglas,620249598,2,7142420010,818
John,Hoffman,409223468,2,9315429393,2674
Travis,Donohue,84601397,2,6463765644,4609
Dale,Heidrick,552706056,2,9492404874,1391
Christopher,Beason,764542412,3,9288649679,98
Joseph,Oh,39483936,3,4015528604,4780
Barbara,Schmitz,213368481,4,4438846470,4032
Tracey,Newkirk,673070146,4,2294774824,377
Meredith,Hodges,229861940,4,8043946716,3888
Maria,Simmons,58225154,4,5182971826,4699
Willie,Crisp,601083678,3,9283453501,1003
Bernard,Benton,419701181,2,2052845537,2595
Helen,Rule,395162294,4,4142292370,2798
James,Wertz,418463826,4,3343020839,2612
Nicole,Aldrich,229863784,4,2763283815,3887
Greg,McMahon,427315279,4,6012262964,2517
Yolanda,Thompson,558910328,4,8586573735,1325
Michael,Buckingham,5826513,3,2076238499,4966
Eula,Johnston,291602346,2,2165523024,3474
Jack,Barr,555893769,3,9167343826,1360
James,Smith,250098840,2,8642665045,3771
Norma,Esquibel,335845209,4,3125728371,3200
Paul,Samuel,251755823,2,8035818032,3764
Aileen,Blake,311687207,4,3172549034,3355
Margaret,Kramer,527047027,4,5202677196,1674
Harold,Bravo,8747262,4,8023138509,4941
Margaret,Fuchs,579985366,4,2023249086,1129
Jose,Crosby,630300473,2,2107542675,733
Jeremy,Fletcher,573753831,2,2095903684,1178
Julie,Foy,668012620,3,7709385084,421
Jeremy,Rose,637148484,4,8175942477,658
Jose,Sweeney,403315459,2,2704775638,2727
Jennifer,Lomax,357808177,2,7736598268,3076
Sherrill,Miller,44183891,3,8609234581,4752
Donna,Brennan,595546543,3,2398503947,1027
Marla,Holman,473629979,2,7637977423,2110
Dolores,Elam,272925077,4,4198614059,3576
Jonathan,Cline,480122420,2,3192381599,2052
Gary,Ortega,680486138,3,7759239674,310
William,Couch,621141364,2,4089867066,808
Lois,Parker,79809726,4,5165755875,4626
Leonard,Love,64035371,4,2125593145,4677
Paul,Morales,578097983,3,2026468574,1146
Sherrie,Stanley,623829926,4,9099884259,796
Ralph,Bradford,342802953,2,8474308938,3162
Fern,Cain,310643643,3,7658471671,3365
Carole,Balentine,235866222,4,3043120192,3857
Percy,Horst,222402478,3,3023343723,3931
Mitchell,Bourget,657189413,3,8646616348,475
Brandon,Rodriguez,9344137,4,8025690925,4934
Milton,Green,691030423,2,7572314557,228
Judith,Smith,403823130,4,8594017949,2717
Gloria,Cano,431611689,3,8703345779,2477
Donald,Wiles,570207115,2,5106255060,1211
Timothy,White,411118733,2,4232393588,2664
Charla,Jones,405421065,3,5027510239,2703
Philip,Cox,641342686,2,9155390578,625
Elisa,Moore,769387733,3,8134909662,37
Adam,Cooper,484065877,3,6413284087,2023
Clarence,Thomas,339206296,4,6184581724,3177
Silas,Jolley,585663679,4,5057629494,1126
Emily,Alfonso,624413575,3,6263809928,792
Sue,Lewis,667308304,3,6782766876,423
Michael,Morris,322468527,2,2175975700,3271
Marianne,James,548691008,4,6505661461,1427
Jane,Langley,43489596,4,2035673134,4756
Ernest,Brown,467923517,3,9566843461,2185
Marjorie,Laub,602526227,4,8186276737,982
Brandon,Ferguson,593814600,2,4078239653,1049
Emma,Brazil,577107603,3,2029974772,1150
Lisa,Anspach,562301659,3,5102159824,1286
Sarah,Gardiner,494263090,2,5737730920,1945
Joshua,Konopka,670241413,2,7062238803,397
Wanda,Whitaker,427033580,2,6012227608,2524
Lindsay,Welch,124561247,2,2126785974,4447
Walter,Hudson,325828834,4,2175433681,3256
Richard,Wright,694031193,3,8046186273,207
Margaret,Mobley,665077545,3,5047297832,438
Martha,Cordero,16506665,2,5082227815,4888
Shelly,Pennington,398760918,3,2623346325,2769
Wayne,Redondo,326566031,2,3095374878,3251
Charles,Wyatt,635668325,3,8066587567,679
Annette,Larson,629624083,3,8326423151,742
Adam,King,530551247,2,7754893605,1628
Elizabeth,Cote,655223508,3,8437592517,486
Joseph,Simpkins,453279392,4,2102932331,2331
Robert,Clanton,462014692,2,3616516262,2237
Ryan,Nettles,311547164,4,8125630569,3356
Ruben,Searcy,508444095,4,4028964943,1833
Chi,Woods,560424622,3,5307572346,1310
Lisa,Coon,554032516,2,9092287723,1375
Elizabeth,Johnson,321046982,4,8154001081,3284
John,Labrecque,478589394,4,6417513212,2063
George,Smart,433441889,3,3187528323,2467
Rochell,Mejia,626056662,2,9515505752,779
Pasquale,Hight,161307520,2,2679795968,4249
Robert,Dunning,333349645,2,6306213519,3211
Celeste,Ives,681018057,4,7047238670,302
Dan,Carter,682018977,2,9104366697,297
Tim,Walker,465313691,4,9727169500,2207
Nicholas,Eccles,460929548,2,9723576856,2245
Jose,McElroy,384867139,3,7345183917,2877
Steven,Hickman,535586466,3,5097216922,1563
Florence,Crawford,632625234,2,5123062426,704
Freddy,Roberson,568828640,4,6615051373,1226
John,Price,54522417,3,6463055989,4708
Pamela,Meyers,639948309,2,9792773143,633
Joe,Jordan,481884218,4,7124793107,2041
Janet,Blanco,309304651,2,3179639140,3373
David,Costa,23526418,4,5088315488,4853
Morris,Dalton,214344448,3,4105675214,4018
Randy,Reynolds,608867500,4,7604438961,931
Steven,Weaver,310749999,2,8128421991,3363
Marry,Price,473281595,3,9523941332,2119
Otto,Watts,636867984,3,9795259233,662
Ronald,Gomez,660055345,3,9852318388,458
Ruby,Sutton,645341148,4,9723220349,573
James,Randall,386225121,3,9894745076,2866
Willie,Beason,13343814,3,9787213989,4907
Nathan,Sullivan,594011689,2,8502337780,1047
Lydia,Shabazz,616987785,2,2095577997,861
Matthew,Owens,457622290,2,9037922277,2280
Kenneth,Davis,499844007,4,3144233439,1907
Fred,Torres,141647407,4,2018985701,4363
Patrick,Knight,450827158,2,5124999273,2350
Lorie,Speller,468133845,4,3207325401,2179
Martin,Pankey,527056853,3,9283016204,1673
Victoria,Williams,589566532,2,9044822643,1103
Dorothy,Montgomery,367237234,3,6166969020,3014
Jimmy,Drummond,531014249,4,2532725824,1616
Jose,Strain,534474370,4,5096855049,1575
Josephine,Lee,175147119,4,4843369919,4187
Jana,Scribner,627021763,4,2149942264,771
Lora,Lewis,249070676,2,8642920689,3781
Jodi,Stoughton,553897777,2,9162903143,1377
Paul,Thurman,409507070,4,9017955144,2671
Gerald,James,368527975,2,2486064482,3004
Shawn,Franklin,187091160,4,8147081488,4145
Suzanne,Arredondo,626077132,4,9252874953,778
Dannie,Ryan,682038532,4,2523714459,293
Reginald,Snyder,323989557,2,8477371384,3264
Jewel,Bell,368886029,2,5173771436,3001
Norman,Allen,352093831,4,7734548321,3116
Vickie,Adamczyk,528400840,4,8019695914,1659
Charles,Muniz,331019255,3,8152143543,3224
Ray,Smith,230352037,3,4346586165,3883
Kevin,Green,593836489,2,3059390114,1048
Dorothy,Nicholson,474387089,4,2182616783,2101
Jennifer,Faria,49222986,3,2037890203,4725
Aaron,Metzler,299566307,4,4194078328,3431
Aaron,Davis,430884647,2,8708754046,2484
Terry,Smith,268058183,4,9379960557,3616
Peter,Davis,513193682,2,6207243365,1792
Betty,Tyler,483723447,2,5635460427,2025
Randy,Stewart,316207714,4,3176372401,3311
Eleanor,Edison,671018816,3,6783848127,392
Mike,Jackson,298346968,2,6144630196,3439
Frances,Vernon,425627296,3,6628153066,2543
James,McCray,10180237,2,4137315908,4926
Laura,Douglas,216963519,2,4109672665,3983
David,Knoll,218927750,2,2405281084,3961
George,Blake,246039934,4,9103243748,3799
Dannie,Scott,466977610,4,2144022944,2191
Rory,Post,441626257,4,5804703915,2422
Wilma,Parra,555979321,3,8187606996,1357
Rosella,Barth,448965994,3,4053480312,2372
Jeffrey,Joseph,131012465,2,6079535172,4427
Jamie,Bullock,340220573,4,2177186932,3171
Martha,Preciado,281407772,2,3304327166,3527
George,Robinson,354016609,4,7085659274,3102
Mario,Caldwell,239403621,4,9102056694,3838
Jose,Bowman,545219172,4,9098664350,1451
Eric,Hesse,620940414,4,5107404377,811
Keith,King,16684219,2,4139375146,4886
Inocencia,Ashcraft,336164231,3,8157283587,3196
Reiko,Medina,442121607,3,4059029149,2421
Harry,Kirkpatrick,512153626,3,7857417119,1800
Jerry,Strock,530037832,3,7754559097,1638
Lori,Geiger,591105977,2,9042342194,1084
Robert,Richardson,414616205,3,9013265527,2644
Arthur,Faison,144749407,3,7328095689,4344
Heidi,Carmichael,309820541,4,7655880547,3372
Danny,Andrews,265023613,2,7274216073,3657
Joyce,Brophy,503060518,2,6056569265,1880
Lester,Casey,178073862,4,7246499973,4174
James,Daniel,275465282,4,3305661251,3559
Deborah,Dion,474051206,4,6512441718,2108
Bryan,Canchola,564362422,2,3236243977,1271
James,Bishop,751017437,2,8086370814,161
Mason,Gann,337021488,3,7737630252,3191
Daniel,Green,677036540,4,8708688143,349
Suzanne,Ferranti,590859240,4,8637746002,1087
James,Odell,370098264,3,5867584345,2995
Linda,Foutz,644385121,3,8174916980,585
Gary,Davenport,669073222,4,4043883548,414
Richard,Smith,607107087,4,8185084863,939
Pamela,Connor,656206342,4,8039548162,482
Maria,Rishel,379229645,2,9898326226,2934
Sherryl,Wilson,403315533,4,6065629565,2726
Stephanie,Falls,558139950,3,4089101093,1329
Bernadine,Reynolds,591150853,2,3865479079,1083
Mark,Swann,297927087,2,5134833336,3445
Brian,Stevens,226385657,4,8043974940,3914
Karen,Ledford,349070435,4,6306962522,3133
Albert,Womack,616984758,3,7079129501,862
Twila,Harper,464745360,2,8173234239,2212
Priscilla,Woodall,561519317,2,7143683784,1295
Carl,Capps,556166972,2,9252943405,1355
Nicole,Rich,620236603,3,4088810860,820
Kyla,Beltran,636142385,4,9729950481,671
Spencer,Harrington,490218343,2,5736828475,1982
Kenneth,Greaney,357724547,3,2176427937,3077
Elizabeth,Cornelius,686039138,3,8283938700,262
Kimberly,Rosa,660059053,3,3375829109,457
Denise,Lane,631928810,2,9729910344,712
John,Buckner,589088001,4,3216632387,1111
Evelyn,Ford,2421789,3,6036428127,4990
Sally,Day,595109610,2,3523282948,1032
Daniel,Sampson,476351819,3,9528987138,2080
Paula,Morton,62104803,3,6465520619,4683
Steven,Everett,113242688,4,5168188029,4489
Tim,Hallam,448581946,2,4055532304,2373
Robert,Rocha,430254662,4,5018045417,2489
Julius,Parker,269368083,4,2165134797,3607
Derrick,Cornish,544564555,3,5036970087,1456
Lisa,Evans,674125321,4,9122973045,370
Joyce,Alam,322288538,2,8472456177,3273
Frederick,Brooks,34484276,3,3399585283,4799
Juan,Bryant,273226548,4,7407202373,3573
Joaquin,Pillsbury,304969950,4,8122787163,3403
Joy,Harris,420373187,4,2056258468,2590
Jesus,Carpenter,470311304,3,9524615460,2151
Ema,Hornick,308130981,2,2199834509,3384
Julio,Daigle,413721179,2,9312662086,2651
Rosario,Callahan,161561381,4,4842753240,4248
Trinidad,Barker,20448972,2,7815700787,4867
Steven,Maddox,507459033,3,4025978245,1843
Selina,Wilson,522587202,4,9709305444,1714
William,Riel,404380335,4,2709963627,2710
James,Sullivan,451884293,3,2147067822,2338
William,Stewart,26602063,4,9786931210,4838
Charles,Breckenridge,40040861,2,8604101602,4776
Jason,Wilkins,611269687,4,3108379813,905
Danielle,Needham,137380843,4,6093048685,4394
Ralph,Macdougall,140646276,3,9733218809,4373
Felix,Swinney,328226435,4,6184534879,3245
Michael,Kanagy,504500291,3,6054565351,1864
Travis,Killgore,150066414,2,7324170877,4312
Gary,Marble,172469801,3,7177494596,4197
Robert,Kelley,628665613,4,4095796609,756
Evelyn,Graves,215520966,2,2404139375,4001
Herman,Grigsby,759012788,2,9314673559,137
Christopher,Blodgett,592316844,4,4074227363,1068
Darrel,Lamb,562498332,4,9254351251,1285
Jayne,Madison,496031585,2,6364973446,1935
Patrick,Wilson,362545588,3,2699198439,3056
Amy,Mullins,464445346,4,9794463349,2217
Heather,Berg,627582356,4,2818250551,764
Lyle,Nichols,697031234,2,2767829419,183
Chanelle,Case,262804961,3,8134952140,3688
Faustino,Stinson,765481552,2,6025435994,83
Benjamin,Stoltz,697013997,3,7032087542,184
Peggy,Ngo,448103799,4,9187083470,2380
Roman,Dewberry,518043344,2,2088224118,1756
Mattie,Gunderson,511132187,2,3167471643,1808
Melinda,Green,423786713,2,2568857089,2561
Amanda,Watkins,247249406,3,8432574556,3791
Ava,Herman,392528085,4,6089349406,2828
Kathy,Scott,472303677,2,2189385646,2135
Dorothy,Wagoner,696012912,3,7575341251,191
Corinne,Davis,18662007,2,4137142506,4873
Ruth,Albers,372986916,4,7344277165,2980
Larry,Nelson,478487623,2,5152868802,2064
Buddy,Flores,685056921,4,3364179629,267
Charles,Defazio,628805345,4,8305108088,752
William,Josephson,569666590,4,6509269686,1216
Dianna,Collins,488389316,2,6369370040,1993
Natalie,Miller,401823402,3,2702554202,2744
Benny,Muir,74182375,3,9177724189,4646
Stanley,Kauffman,219598577,2,2406815524,3951
James,Voelker,537205673,2,2063635460,1541
Lottie,Peoples,675109043,2,7709774472,362
Jonathan,Munoz,768369383,3,3055608597,47
Christopher,Schultz,392174130,3,4142387932,2832
Delora,McGovern,547327751,4,9252932523,1437
Cassi,Huff,455666364,3,5123242817,2303
Walter,Rich,538513707,4,3603454831,1530
Mabel,Hughes,531253380,4,5097617427,1614
Joaquin,Desilets,551754841,3,9254261823,1401
Stephen,Fox,18744472,3,5089411394,4872
Jamar,Glover,328463083,2,3096592155,3242
Alejandro,Goines,384843533,3,6162978778,2878
Charles,Fitzgerald,368108726,2,6169355622,3007
Rosalie,Jennings,629984087,2,9792791368,739
James,Barrientes,426434911,2,6628373077,2531
Patrick,Gonzales,247658958,3,8645824916,3789
James,White,385090556,3,5867787384,2876
Melissa,Fowler,534643967,4,5098402890,1572
Ryan,Biggs,225930829,2,8048730896,3915
Viola,Johnson,428392734,3,6015728339,2505
Frank,Matthes,464721411,4,8175043142,2213
Thomas,Lewis,361033544,4,3123944893,3065
Eula,Harris,290301944,4,9372494985,3481
Sharon,Ethridge,315012469,4,2605049839,3322
David,Strom,365159585,4,8104961286,3033
Calvin,Campbell,674120297,4,7707307298,372
Betty,Morris,656050707,2,8433439401,484
Robin,Burge,206723655,4,5708547847,4076
Gene,Jude,539869344,2,5099301330,1509
Kristi,Hughes,261481026,2,8132176797,3705
Maryanne,Marcus,365016708,4,2486640075,3036
Amber,Marrufo,769181578,3,8505769199,42
Darleen,Lenz,170079040,2,8148459184,4208
Linda,Utter,16051081,4,7812102608,4892
Matthew,Turner,95644511,2,2124353554,4563
Billy,Bramlett,634180050,2,8063294001,691
Rosemarie,Carter,676034032,2,8708244626,355
Carla,Zarate,8309117,3,8026542125,4948
James,Morrison,574840305,3,9072896270,1156
William,Skoog,342403425,4,7087107551,3164
Brant,Boyd,5809611,4,2075823092,4967
Dennis,Rock,640109767,2,7137079672,631
Henry,Lopez,600368921,2,6024362317,1017
Leann,Speck,298400896,3,6148029896,3438
Paul,McClendon,768505666,4,5618375142,43
Alvin,Sanders,147621299,3,6098934552,4329
Melinda,Conrad,148382439,4,2017956207,4326
Sharon,Cruz,29037322,3,7812699704,4832
Adam,Alexander,317527217,4,7657211409,3302
Robert,Rogers,444042848,4,5805945530,2410
Jesse,Singleton,615600529,4,9252794889,871
John,Saddler,217244931,4,4106255180,3982
David,Roper,678099740,4,8709106933,340
Leticia,Pace,157707428,2,2017477759,4266
Sandra,Taylor,461520630,4,2145683114,2241
Jonathan,Russell,382425806,4,2697606586,2904
Felipe,Blose,585091574,2,5052703882,1128
Dora,Wong,213459031,2,4106757691,4030
John,Moorman,645300806,2,8172063929,575
Edward,Allen,106721853,4,3476122208,4517
Grace,Trujillo,694030301,2,8047844954,208
Lyle,Dieter,248369279,4,8035680437,3786
Sybil,Laskey,221561489,3,3023167499,3939
Mavis,Baldwin,392709919,2,2627979159,2826
Brandon,Hernandez,562580970,4,9512434954,1283
Carl,Rodriguez,407127856,4,8596636572,2689
Kathleen,Fullmer,521598788,2,3037121179,1721
Amanda,Mason,500214556,4,5736333780,1903
Cynthia,Ames,539078269,4,5095593428,1524
Patricia,Lukas,462395111,2,9039470431,2233
Marie,Huhn,398243975,2,6087722470,2774
Elizabeth,Stalvey,447506535,4,4057759853,2385
Frederick,Burke,6040967,4,2078423584,4964
Erma,Force,313803992,2,3172337855,3330
Stephanie,Martin,698038055,3,4342390766,175
Suzanne,Bailey,212148027,3,4434669880,4049
Aaron,Osborn,80059932,4,6316437328,4623
Carolyn,Page,9406503,4,8022701056,4933
