PropertyID,AgentTaxID(Person : TaxID),SellerTaxID(Person - TaxID),ListPrice,Description,Area,SellDate,AddressID
37,616152343,69946865,1898000,Jonahs Figueroa Aludra's Hoover's Alyce's Java's Izod's Herschel Iaccoca Centigrade Akhmatova's Fla Harding,61870,1/20/1981,869
38,494368677,568617029,1896000,Chandra's Harry Fugger Head's Loki Fredrick Hokusai Heineken Arianism Liliana Angel's Gallagher Eunice's,207920,9/27/1999,1943
39,655032690,593269376,1494000,Eleanor's Cebuano Li's Europe Johnathan Lorentz Armageddons Andaman Claude's Freemason Foucault Europa's Ashikaga's,100210,8/23/2014,492
40,561264961,206383076,1302000,Lombardy's Hanoi Eden's Anglican Heston HSBC's Honecker Finnish Acapulco Akihito Ivy Independence's Izanami's,54710,9/5/2007,1299
41,686096932,660104089,722000,Liege Amur's Arab's Hermosillo Al's Folsom Anderson Achebe's Fabian's Finley Icelanders Hicks's Anasazi,80700,5/6/2005,259
42,497034907,655038325,1415000,Georges Enos Fla Hersey's Encarta's Henrietta Fremont England Hamill Iago's Almohad Lewinsky's Angelo's,126040,1/5/2007,1923
43,603341624,136829621,1094000,Alton's Chimu Algonquin's Euphrates's Livia Cochabamba Cathryn's Havanas Hollis Abilene Allende's Alabamans Android's,121590,11/20/1984,974
44,622863239,238354484,1172000,Helene's Hickman's Lyme Adrienne's Li Howells Farrakhan Celeste's Frankel African Hohenstaufen Ar's Felice's,203820,11/28/1982,799
45,499346397,264190240,991000,Evita Gallo's Janacek Harrisburg's Epicurus Inca's Chianti's Hereford Everett's Alderamin's Douro Germanic's Frye's,214260,8/10/1987,1908
46,281128302,89527893,1384000,Gehenna Holland Dylan Gall Arbitron's Jessica Genevieve Alex's Giovanni GE's Heywood Jim's ESP's,137390,7/21/1983,3531
47,213156326,306168769,329000,Fassbinder As Cecil Indus Amazon Cochin Haynes Hickman Lillian Floridan Earnest Emmett's Galibi,156200,6/28/1985,4034
48,29609898,435048711,1336000,Chicago's Aquino Fitzpatrick's Jewish Dwight's Hamhung Esau Cinderella's Abel Frisco Acts Galilee Anibal's,191820,7/14/2011,4823
49,191038115,297965680,1412000,Hindus Angelia's Libya's Chamberlain Fresnel Lottie Honduras's Islamabad's Ch'in Lysistrata Esau's Louise Erika's,33540,1/5/1999,4129
50,287968208,626309543,478000,Honda Android Longstreet Hanover Heller Londoner Angus's Anastasia Angelita's Hart Lichtenstein Halifax's Cf's,209300,10/15/1992,3502
51,48545094,410698933,1485000,Alleghenies's Charybdis's Challenger's Clarissa's Japaneses Eldon's Jamel's Hull's Harley Ashley's Aimee's Aquila Hicks,189660,2/6/2011,4728
52,463840561,643685121,1897000,Hafiz Arcturus Isidro's Ana's Fuller Inc Amparo's Alaskan's Argonne Hill Iliad's Islamism Listerine,121660,3/2/2010,2222
53,255523404,446960167,1045000,Aguinaldo Abdul's Hansel's India Feb's Iran Heriberto Ghanian Iroquoian Aaron Jerusalem Fermi Ecuadoran,140760,1/25/1993,3743
54,503349640,375053658,763000,Hamill Gawain's Catholicism's Fresnel's Alfonzo Eden's Jodie Indianans Elisa Chris Edgardo Hawaii's Durante,80940,12/6/1981,1874
55,615242865,255367380,1494000,Hannibal's Eloise Jamaican's Antaeus Incas Esmeralda's Artie's Ararat's Erasmus's Arawakan Faustino's Frank Finley's,101370,11/28/1992,873
56,93244169,317081574,1888000,Excellencies Iliad Felicity's Annabel's French's Celebes's Lilliputian Alfonso Letha Jinny's Erebus Elvis's Father,99290,1/13/2017,4574
57,206527641,590209396,1620000,ING's AM's Dumbledore's Fowler Libreville Gauguin's Hg Galatea Elliott Gemini's Genoas Luther Elwood,177780,2/13/2001,4079
58,542900421,539057592,350000,Essie Aramaic's Almaty Alabama's Draconian Lucius's Hindu's Armenian Ivanhoe's Abby's Eucharistic Hyundai Adele's,128400,4/6/1989,1473
59,184500260,534434057,1931000,Clayton's Cesar's Hamilcar I've Liston Caucasian's Ezekiel Charbray Fromm Inuktitut's Figaro Americas Christian's,37330,9/18/2010,4150
60,329346977,559709537,1086000,Egypt's Huber's Abner Gawain's Lowell Emmett's Facebook Antony's Amiga Akita Hausdorff Liberia's Joel,150170,6/5/2013,3236
61,252249747,644463183,1812000,FDR's Abyssinian's Harrell Claudine IV's Hayes Frigga's Liechtenstein's Jarrett Lilliputians Louisianians Io Allahabad,93710,12/14/2014,3762
62,230993410,314018715,1799000,Drudge's Earnhardt Litton's Jacklyn Hill Freeman Dyson's Adderley's Arno Ashlee's Espinoza's Franklin Elway,70810,4/19/2007,3881
63,604506762,435060275,430000,Ibsen's Heather's Ingram Analects's Jed's Arafat Eyre Hollie Abram Fay's Edward Fridays Emery,173320,10/9/1994,962
64,555557948,272243380,417000,Hiroshima Ginger Falwell Hopper Adele Cleo Icahn's Chatterton Fallopian's Hillary Howell Adela's Eris's,96650,3/15/1982,1364
65,23889748,362017372,1826000,Huerta's Johann Jeannine Aaliyah's Adar Fatimid Levi Elvira's Lord's India Ginsburg Charmaine Libyan,132320,7/10/1979,4849
66,768100547,428392734,1469000,Adolf Fowler Jimmy's Araucanian Etta's Althea Christ's Ahmad's Italy's Liverpool's Cepheus Addams Aaron,61220,1/20/2014,55
67,383085760,551418020,452000,Eldon's Alejandra Lipton's Homeric Lorene's Arizona's Johannes Halliburton Ferrari's Euclid Hispanic's Charlottetown's Hamlin's,81930,11/20/1993,2897
68,458630531,174549668,904000,Abner Havel Antilles ErvIn Holder's Hebraic Chianti's Encarta's Fitzroy's Ada H's Angkor Estelle,45930,5/6/1980,2271
69,692012572,426098907,1422000,Henderson Ginsu's Apache's Hernandez Indira's Andrea's Lilongwe Alvin Agatha Francois's Clorets Hutton's Faisal,121980,7/17/2000,223
70,614521048,51621803,1785000,Hobart Ellison Clint's Clouseau Isabel Co's Chartism Indochinese Italian Jericho's Changchun Antoine's Galilean's,74590,11/16/2011,878
71,101664951,614179427,504000,Lilia's Hindemith Armenia's Elinor's Alison's Chambers Gamble's Halliburton Clorets Durhams Abraham Arlene's Eve,169550,12/3/1978,4541
72,496046404,677051527,1498000,Loews's Freemasonries Fredric Angolans Amadeus Duffy Cato Fernandez's Funafuti Heath Aggie Ellen's Fuentes,162880,7/9/2013,1934
73,530088398,567550110,1714000,Angola's Hokkaido's Jasper's Antonia Forrest Antonia Lynne Hindi Flatt's Ira Letitia's Hellenic Epicurus,48200,11/13/2011,1637
74,643561874,13050822,1128000,Feb Luanda Aline Christensen Coleman's Abel's Gambia's Alford's Caucasian's Arkansan's Eddy Citroen's Americanism's,110430,6/23/2003,597
75,141115661,680767275,389000,Filipino's Lyman Indianan's Ethelred Americas Luke Fahd Elva Lyme Imogene's Luciano Argentina Jennie's,78340,5/11/1986,4367
76,489198044,659075259,771000,Huguenots Haynes Chanukah Forester Christians European's Eugenio's Lois's Hollis Amie's Hungarian's Gautama Chinooks,48350,1/6/2008,1989
77,619240482,592340244,331000,Eunice's Elohim Herbart Eloise's ID's Colon's I'll Fargo Lochinvar Hoffa Jody's Christian's Frankfurt,35710,9/2/1985,838
78,350803645,43489596,1247000,Gilligan Coleen Geo Charbray's Irishwomen Hellman Lewinsky Liechtenstein Cesar Lorre's Hank Egypt Jenna,105650,2/13/1988,3123
79,536040209,610242410,623000,Inca Fujiwara Frigga's Anabel Evian Dreyfus's Loki's Geo's Idahoans Dustbuster Lollobrigida Lucinda Hernandez,11590,7/1/1999,1557
80,506152189,310300041,616000,Howell's Jacky Adeline's Fatimid Armstrong's Enos Jinny Furtwängler Fri's Hewlett's Akihito Eugenie's Iowans,139150,11/10/1986,1852
81,288687043,312506452,1704000,Alden Freeman Ethiopia Johnathon Gienah Lulu Hettie Adirondacks Felix Gatling Ham's Eliseo's Chongqing,34520,1/27/2017,3491
82,454316810,14261504,943000,Hauptmann Cheerios Alembert's Lola Druid Agassi Faulknerian Arawakan's Analects's Ararat Estela Fanny Chernenko,72920,10/24/1999,2319
83,337365021,507308672,1689000,February Fanny's Aachen Jayapura Christa Ch'in Hanukkahs Estelle Fairbanks Iraqis Fatima Galsworthy Chad,28650,9/6/2006,3190
84,674096786,534593492,486000,Douay Amharic Gaea Hayden Es Liberia Lithuanian Alex's Inuktitut's Ian Duncan Algenib's Jinnah,103610,7/3/1998,373
85,213099778,307137559,1143000,Dwight Colfax's Hercules Arab's Amy's Lilith's Erich's Addie's Eyck's Hosea Gerardo's Eastern Cecil,34370,7/30/1982,4036
86,650018774,288669488,1043000,EverReady's George French Cheshire Hopewell's Clancy's Colin's Lusaka Christendom's January's Estonian's Jayapura's Earline,149490,7/26/2000,541
87,476215255,592798196,642000,Gettysburg's Dreyfus Hottentot Feb's Eli Effie's Luigi's Eliza's Frisian's Lin Alabama Cheryl's Antwan,14810,10/11/1978,2083
88,302362946,573683844,382000,Eumenides's Earline Duane Elliott Andre Che Honeywell's Ethel It Collin's Honduras Louisiana's Fido,198780,11/22/2010,3417
89,484801270,2040996,642000,Cebuano's Jansen Fletcher Edmonton's Cochran's Dunlap Chi's Gareth Iva Ankara's Letha's Hamhung Hollie's,196420,10/2/2011,2019
90,219324979,475705504,623000,Acuff's Chrysostom Alberta Appleton G Abyssinia's Joanna Farrow Lubavitcher Amundsen Janie Louisianan Downy's,49610,11/27/1991,3955
91,2040996,315054744,1467000,Hunter's Father's Limoges Earth Herrera Hawking Düsseldorf Charleston Jonah Argos Charlotte Finley's Dvina,139360,5/23/1985,4994
92,147386380,534593492,547000,Herculaneum's Havana's Everett Jillian's Chandra's I'll Alaskan's Indianapolis Horn Heineken Hans EverReady Galloway,169520,7/28/1999,4332
93,165385726,542159161,1208000,Charity Chartism As Homer's Frenchman Hialeah Jay Aquarius's Alma Elysée Fletcher Armour Iaccoca's,184660,7/19/2006,4225
94,510820628,258428292,1770000,Alonzo's Hovhaness's Faraday Alar Liverpudlian's Indianans Finnegan Levy's Espinoza Filofax Hyperion's Elvin Gerber,43980,4/29/2009,1812
95,8621630,293489007,690000,Hummer's Inuit's Flynn Chen Galilean's Hokusai Hunter Alisha Antichrists Dramamine's Fritz Francois's Jayapura's,198920,10/8/2006,4943
96,540457544,415567064,1216000,Christendom's Enterprise's Hottentot's Lodz's Coffey's Faith Am's Librium's Esperanto Chaitanya's Antigua CinemaScope's Figueroa's,194440,11/15/1988,1505
97,330220145,591435176,1994000,Aden Alvarado's Hoover's Angelique's Eire Lynne Appomattox Jefferey Christie Hunter's Angus's Ham Agustin's,132840,10/21/1984,3230
98,548488519,641787657,1286000,Gertrude Iraq Hottentot's Liszt Donny Heisman's Inquisition Chandon Edwin Aguilar Hofstadter Charleston's Lynnette,193340,11/2/2004,1430
99,680167392,188427954,1139000,Hickman Amparo Abrams Cecelia's Elroy's Chagall Lot's Loews's Chernomyrdin IOU's MB's Dracula Anaxagoras,192290,7/4/1985,322
100,32762354,519413826,237000,Francisco's Hawthorne Jenner Gallagher Clarence's Garibaldi's Arizona Andres Gadsden Dublin's Agnew's Amenhotep Chapman,115080,7/21/2005,4810
101,457478032,539282328,671000,ASCII's Levy's Elvira Eco Fanny's Ashkenazim Ed's Altaic's Jarrett's Iranian Lewinsky's Chelyabinsk Garrett,115700,8/24/2012,2282
102,394504963,667207706,1246000,Libras Jared Anne Claudius Filipino's Highlander Holly Janissary Jenna Dubai Henson's Agrippa Alphard's,183150,11/21/1994,2803
103,53328808,216076085,891000,HSBC's Altair Arab's Hood Akbar Chernomyrdin Eiffel Freud Janacek's M's Eocene's Excalibur's Hmong,192640,11/29/2013,4713
104,628721927,306011150,594000,European Ariz Levitt's Arapaho's Albanian Americana's Jenna's Dunkirk's Israel Clovis's Ijsselmeer Jezebels Christian,106110,5/15/1987,755
105,552089492,648148042,1466000,Doris's Hull Lynn Florsheim Fischer Ila Hesse Jaycee Erse Freud Edwardian's Edison Johnie,203880,11/26/1987,1397
106,351964207,423063834,888000,Cheddar Itasca's Fonda Episcopalians Fr Ferber's Hermaphroditus Elysium's Frisco Freya's Forest's Hershel Cline's,26980,3/25/1993,3117
107,9522317,766501089,950000,Alderamin Levitt Cerberus's Edmund's Arline's Hellenization Hohenlohe Jamar Clairol Cebuano Dreyfus's Jake Fraser,88020,2/1/2014,4930
108,667146013,360382446,1955000,Gauss's Jewish Hermite's Lethe Abyssinia's Hertzsprung Henrietta Eben Jarrett Eddy's Garfield's Lutheranism's Genet's,13060,11/27/2002,429
109,636823136,428253167,1226000,Arafat French Huntington's Jersey's Excellency Chimu Lupe Hera Honiara Chibcha Dwayne's Howell Gatun,161530,1/1/2004,663
110,595194738,50302954,473000,Geoffrey's Lexus Armando Eden's Aquino Eliza's Americans Lothario Japura Jacklyn Hesse Chuck's Jana,8440,5/5/2017,1031
111,465651374,685075467,629000,Alejandro Chivas's Indochinese Ila Alamo's Chelsea Franck Abner's Doonesbury Choctaw Janine Henri's Everglades's,210650,12/3/1984,2202
112,384104299,629624083,1662000,Helicon Gage Elway's Eumenides's Hovhaness's Humphrey Fermat Hals Lombardy Europeans I Lilith Facebook's,25800,12/10/1986,2885
113,364526254,214399802,1112000,Gamble Hangzhou Anubis's Hispanic Alicia Leviticus's Harry's Janacek's Adan's Aimee Ho's Lincoln Eucharists,42680,1/7/2008,3040
114,372184102,759017358,689000,Cliburn's ECG's Henry's Dumpster Frobisher Chippendale's Jaipur M Liverpudlian Americanizations Iceland's Hohenstaufen Lutheran's,116870,10/30/1980,2984
115,292406435,554207590,1173000,Chanukahs Frost Espinoza Gallagher's Gavin Akita Huguenot's Dumbledore's Hartline's Cenozoic's Horus Elysium Arizonian's,85250,4/15/1998,3470
116,646448871,764547418,611000,Jamie's Japaneses I's Alcott Epicurus Farley Chevrolet Abrams Akiva Java Ararat Linnaeus's Hottentot,148700,2/21/1995,563
117,94248378,490075905,1352000,Lizzy Durex's Arizona's Edam's Horus's Lome Eurasian Chippewa's Dumbledore's FNMA Italian Ibiza Eustachian,114600,6/17/2004,4569
118,68687562,105160402,1287000,Gilda's Jerrold's Lome's Gerard's Abe's Donna Lvov Clement Highness Helsinki's Fillmore Fowler Lombardi,170120,12/10/1994,4666
119,771383696,221785876,910000,Lionel Harrison Gettysburg Emory Adirondacks's Innocent Ferraro Catiline Francois's Ira Gideon Chernenko's Christine's,188950,11/6/2013,16
120,402631494,213411651,716000,Georgetown Eric's Eden Jeff's Halliburton Foreman's Armour's Eddie's Anabel Garry's Hasbro's Doug's Freetown's,70330,1/25/2004,2737
121,420709621,324019469,722000,Emilia Hunspell Fed Alberto Colosseum Gagarin Hinton's Christian's Coleridge Centigrade Halloweens Hitler's Ilene,177760,11/15/1997,2586
122,364272397,625160647,566000,Accenture's HMO's Gaiman's Elul Lillian Hg's Livonia's ECG's Allison Hofstadter's Lilian's Foley Erna,48410,6/22/2007,3042
123,629809619,558103358,1817000,Aconcagua's Fassbinder's Elma's Felicity Alexandra European Emacs Evert Lvov Lynnette Almoravid Farrell's Louisianian's,197220,2/26/1992,741
124,567245009,409672447,1572000,Ed's Gelbvieh Alpert's Li Indonesia Christopher's Hertzsprung's Aberdeen Amarillo Aelfric's Americanization's Chianti's Jeffery,117720,6/29/1999,1240
125,11668260,258141983,1045000,Flossie's Indian's Gillette Ethel Alejandra's Ankara's Charmaine Amherst Lupe Elaine Harriett Eliseo Colombian,171000,8/21/1983,4920
126,478220247,149921081,1563000,Hutchinson Epstein Episcopalians Chippewa's Dortmund Florida Downy AOL's Herculaneum's Hera's Ashlee's Honshu's Celia's,3180,8/11/1987,2067
127,331665141,16051081,1696000,Aesculapius Gareth Lorene Dorothy Homeric Fleming Evian's Faraday's George's Dulles Clement's Hussein Irma's,68270,6/30/1980,3221
128,400630130,540922121,719000,Jaipur Heston's Cohen Luann Flanagan's Esq's Lula Lorie Elam Garcia Evan Hormel's Lucian,23420,9/24/1980,2755
129,461558310,12187459,1121000,Idahoans Chablis Gibraltar's Equuleus Louisianans Chaucer Hamilton's Colon's Longfellow's Lorena's Enrique's Loire's Hughes,141560,6/2/2012,2240
130,253682063,410698933,338000,Hardin's Formicas Ferrell Jacob's Johnathan's Herzegovina Isfahan Halliburton Chicana Hamill Clotho's Eggo's Helene,45580,3/31/1979,3755
131,152095884,74463182,1795000,Antarctic Agnew Che Ilene Louisiana's Firefox Donald Christ Hay Amsterdam Anabaptist Gdansk Filipinos,213430,2/20/1998,4302
132,275401754,25563290,867000,Lilith's Hickok Erich Alberio Alioth Frazier's Enkidu's Armenia's Claudio Euclid's Hittite Apennines Afghanistan's,94240,1/18/2002,3560
133,579582611,634180050,672000,Jefferey's Hoffa Chasity's Cognac Amish Erich Ireland Ijssel Eumenides Donetsk Liege's Houston's Artie's,68660,2/21/2007,1131
134,204527827,766448223,1541000,Freida's Dumbo's Hampshire's Dvorák Finnbogadottir Houston's Amado's Christmases Aleutian's Linwood's Aramaic Ionic's Lyons,54410,11/2/1984,4089
135,112442559,441589075,576000,Abel Iva's Estonia Akihito Alberio's Anselmo's Lima's Javanese's Andrew's Ashe Faustian Job Iqaluit's,111550,12/23/2011,4492
136,619305705,685095958,809000,Litton Anaheim Lexus Hague Col Lucio's Hettie Adela Jill Hitlers Ericson Chinook Alar,212560,6/29/1978,836
137,151481692,600368921,1414000,Flanders Dristan Elysium's Ham I's Efren Epson's Abelson's Ike Aimee Andre Innocent's Almach's,81050,11/16/1984,4304
138,213111542,421556954,1867000,Claude Elena Eddy Alistair Aline's GOP's Earnestine Araucanian Amy's Clement's Hilfiger's Emile's Garza,143240,8/13/2015,4035
139,421165447,278623485,496000,Jewishness Alzheimer's Ethiopia's America Henri Hilda Erebus's Islamabad's Jainism's Christi's Hench Cervantes Althea,116220,6/1/1987,2583
140,357267709,448241530,500000,Louisa's GHQ's Adonis's Itaipu's Litton Elva East's Cochabamba Imogene Eloy Irma IOU's Hurst's,153710,9/27/1985,3079
141,321987500,141520852,1528000,Fido Gerard's Liszt Imus Howell's Adonis's Almoravid Jewell Donnell's Donizetti's Alps's Filofax Alabama,194230,3/20/1992,3276
142,765226603,390940881,1136000,February Epictetus Hinduisms Alexei Amerasian Altaic Estonian's Lilith's Amie Idaho's He's Freddy's Claire's,123480,6/11/2015,91
143,355544392,650241910,1301000,Hitachi Choctaw's Harrington Alisa's Hebrew's Adonises Frye Izod's Luzon Hobart's Hamilton Hippocrates's Adolph's,94540,11/9/1995,3095
144,351944800,694036878,1310000,Firestone's Iago Celtic's Fahd's Cayman's Aristophanes Aquinas Angelina's Cm Anatole's Aryan Indore Ethiopian's,204390,8/9/1997,3118
145,389134668,695034849,1091000,Imus's Harrison's Albireo's Jinan Flossie's Ala Fitzgerald Düsseldorf Hellenic Cointreau Chevy Ham's Hefner's,120600,5/18/1988,2853
146,625290923,524205837,447000,Coffey Donizetti Huguenot Jillian's Lycra Ellie Jacobi Aldan Annapolis's Churchill's Adolph Anacreon Lou,96700,9/4/1999,784
147,643961913,633664490,678000,Loafer Americanisms Japura's Claiborne's Aladdin's MBA's Emory's Hindustan Alford Chirico J's Iblis's Felicity,65050,2/14/1998,590
148,526900336,549848871,640000,Lille Clausewitz Abernathy's EPA's Emile Cheyenne's Joey's Essie Honiara Halon Indochinese Linux Jeanine's,201460,10/31/1995,1676
149,148684940,202365305,1244000,Co's Eskimo Ann's Champollion FICA's Loafer Jeannie Ampere's Fitch Ararat's Amenhotep's Formosan's Lithuanian,114960,11/19/1989,4321
150,587719947,380504203,895000,Celia's Japan Jolene's Akhmatova Euterpe's Harrington's Janna's Eugenie's Apollo Joel Alnitak Levi Choctaw,138840,9/13/1988,1115
151,308507977,771207973,952000,Hanoverian's Lexington's Dravidian's Chihuahuas Doolittle Cd Enrique's Fred's Halloween Chancellorsville's Einstein's Amway Anabel,42230,7/26/1998,3379
152,589921067,540157545,1593000,Anglophile Ephraim Jeannette Igor's Abyssinian's Dorsey J Chekhov's Ada's Cherokee Analects Colette Gargantua,193420,10/27/2014,1100
153,655207806,464964627,1309000,Jaycee Hannah Huntington's Charmaine Chris Evangeline's Alcoa Challenger's Livy Earline's Chrysler's Hamitic's Agatha's,125830,2/23/1983,487
154,516946028,577966551,870000,Izanami's Foosball's Aconcagua's Lethe's Galsworthy Aquino Er's Lully Fido's Colt's Ionian's Hasbro's Duse's,70500,4/17/2016,1764
155,563106809,697013997,1582000,Edmund Liege's Izvestia's Achilles Liza's Havana's Gaussian Lithuanian's Garfunkel Eire Lyon's Dumbo's Ericson,111020,10/11/1989,1280
156,630166193,641121739,517000,Cochise Essene Frankie Jamaal Florentine Hendricks Helen Coleman Francisca Che's Henry Adam Amelia's,195180,6/6/1984,736
157,405026976,648386524,1281000,Argonaut Fragonard Islamabad's Liberace's Falkland Joesph Finnegan Georgians Hg Andes's Cedric's Adana Highlander,144730,12/27/1978,2706
158,765268062,275142996,1314000,Arno Hanna's Ebro's Dreiser Gillette's Allegheny Eula's Lorre Caucasus's Alnitak Ginny Figaro AOL's,195210,12/7/2011,90
159,116506622,759010486,1765000,Emanuel Lowery's Harmon Loyd's Achebe's Gina's Chippewa Amalia Louisville Chan Gallo's Edward's Gaza,33410,9/16/1991,4475
160,564774452,768142151,335000,Ellison Frostbelt Felice's Earhart Hickman's Ariosto Gaziantep Hugo's Cliburn Downy's Jasmine's Alton Ivory,108310,2/12/2017,1261
161,296304091,391386571,460000,Foosball's Acosta's Foley Jaclyn Cherry's Aileen Froissart Johanna's Huguenots Levant Jill Hiroshima Ghana's,137170,6/29/1996,3457
