OfferID,PropertyID,Date,BuyerTaxID(Person: TaxID),OfferAmount,OfferStatus
109,109,2014-08-29,636823136,1097000,d
110,110,1991-03-11,595194738,1682000,a
111,111,1989-08-14,465651374,518000,p
112,112,1983-07-17,384104299,1792000,p
113,113,2004-01-12,364526254,593000,a
114,114,1990-05-27,372184102,1481000,a
115,115,1990-07-05,292406435,300000,a
116,116,1996-08-06,646448871,706000,a
117,117,1987-11-20,94248378,1373000,a
118,118,1995-03-04,68687562,850000,a
119,119,2015-07-22,771383696,640000,p
120,120,1986-12-08,402631494,1266000,p
121,121,2014-06-27,420709621,433000,a
122,122,1988-10-16,364272397,897000,p
123,123,2000-08-29,629809619,701000,d
124,124,2000-03-09,567245009,503000,p
125,125,1997-10-26,11668260,307000,a
126,126,1999-07-05,478220247,950000,p
127,127,1986-11-15,331665141,801000,p
128,128,1994-11-17,400630130,474000,p
129,129,1993-10-05,461558310,1282000,d
130,130,1998-08-20,253682063,447000,p
131,131,2011-04-03,152095884,889000,d
132,132,2012-02-22,275401754,1895000,d
133,133,1982-11-07,579582611,1110000,a
134,134,2004-08-17,204527827,1566000,d
135,135,2006-03-02,112442559,320000,a
136,136,2003-04-21,619305705,1992000,p
137,137,1982-08-22,151481692,826000,p
138,138,2007-05-25,213111542,1692000,p
139,139,2009-06-19,421165447,1468000,a
140,140,2015-12-05,357267709,1241000,d
141,141,2015-12-12,321987500,1049000,a
142,142,1989-11-21,765226603,1870000,a
143,143,2009-01-25,355544392,1260000,d
144,144,1978-04-24,351944800,364000,d
145,145,1992-11-12,389134668,1809000,d
146,146,2007-07-15,625290923,859000,a
147,147,2006-09-12,643961913,952000,p
148,148,2007-01-19,526900336,1787000,a
149,149,2002-10-12,148684940,1989000,p
150,150,1982-10-26,587719947,343000,p
151,151,1980-03-27,308507977,1424000,p
152,152,1997-04-13,589921067,1064000,a
153,153,2003-07-01,655207806,731000,p
154,154,1998-05-11,516946028,452000,d
155,155,2017-01-18,563106809,711000,d
156,156,1984-11-11,630166193,449000,p
157,157,2016-04-09,405026976,784000,d
158,158,1978-02-12,765268062,1073000,d
159,159,2016-08-25,116506622,218000,p
160,160,1998-09-02,564774452,1569000,a
161,161,1985-05-06,296304091,1731000,d
162,162,2006-07-05,191826437,766000,a
163,163,1981-06-22,540381070,1803000,d
164,164,1984-08-14,577966551,1068000,p
165,165,2000-07-26,529466325,259000,p
166,166,1979-07-05,409025852,1466000,d
167,167,2008-07-25,455486160,1117000,d
168,168,1999-06-25,214449645,1514000,a
169,169,1998-01-22,62145606,760000,a
170,170,2010-04-24,770321349,1261000,d
171,171,1990-12-16,48822561,966000,p
172,172,1985-05-19,765141960,608000,d
173,173,1999-04-25,397422329,1607000,d
174,174,2001-08-14,662019238,1729000,a
175,175,2007-06-01,644463183,1923000,d
176,176,1981-06-03,613969644,1413000,p
177,177,2007-07-21,418808478,1830000,a
178,178,1980-08-16,331247243,1007000,p
179,179,1978-09-19,215219694,1892000,a
180,180,1992-02-13,449719158,667000,d
181,181,1992-02-05,4167154,961000,d
182,182,1996-05-26,595707809,1049000,a
183,183,1994-06-10,767241620,234000,a
184,184,1999-04-18,259499357,1572000,d
185,185,1993-12-31,426477339,403000,d
186,186,1997-06-12,98485876,1328000,p
187,187,2000-06-04,647704562,433000,p
188,188,2010-12-07,614920467,1414000,d
189,189,2006-10-17,97827296,731000,d
190,190,2015-10-27,457166593,829000,p
191,191,2012-05-15,527900092,1892000,d
192,192,2004-08-08,154074341,769000,a
193,193,2004-12-18,61488614,1082000,d
194,194,1999-03-29,680188297,1243000,d
195,195,1979-05-23,478312075,1997000,p
196,196,1990-10-27,766448223,726000,a
197,197,1995-02-23,560542510,320000,d
198,198,1982-10-27,530519766,901000,p
199,199,1981-01-14,215402826,1800000,a
200,200,1980-01-26,231419397,1244000,d
201,201,1988-09-03,310960861,983000,p
202,202,1999-12-08,523070796,1692000,a
203,203,1980-03-06,432827125,578000,a
204,204,1988-05-25,552124440,203000,a
205,205,1995-01-05,556860026,379000,a
206,206,1995-07-01,257489502,1978000,a
207,207,2017-05-22,352824150,1455000,a
208,208,2009-11-27,454012601,451000,a
209,209,2015-04-06,680308896,490000,a
210,210,1992-04-22,539105499,448000,p
211,211,2014-01-31,249132680,1027000,p
212,212,2008-12-09,23489998,982000,d
213,213,2005-11-08,459135507,981000,p
214,214,1994-07-05,660016175,1019000,a
215,215,2005-07-15,38709793,1250000,d
216,216,2010-02-23,279805464,239000,a
217,217,2017-12-25,358627903,1989000,a
218,218,1991-11-30,694035217,1020000,a
219,219,1982-01-24,563062064,998000,a
220,220,2007-02-28,422944323,1874000,a
221,221,1989-05-11,458600483,1149000,d
222,222,2003-10-24,508867408,1362000,p
223,223,1998-09-09,509786040,582000,a
224,224,2000-02-11,456558408,993000,a
225,225,2007-03-18,593408396,1564000,p
226,226,1992-01-08,680365548,1491000,d
227,227,1983-11-08,482087152,1220000,d
228,228,2010-07-11,678093979,1185000,p
229,229,2016-02-02,86011482,1342000,d
230,230,1998-10-28,593484457,596000,d
231,231,2009-12-23,367269582,483000,p
232,232,2014-01-31,318149207,819000,d
233,233,2013-04-26,333011672,710000,p
234,234,2014-09-24,266646392,1235000,a
235,235,1985-02-26,529906087,895000,d
236,236,1980-06-08,503886380,866000,a
237,237,1996-09-30,526451127,1407000,d
238,238,1988-11-04,459461630,935000,a
239,239,2003-11-06,516747178,1286000,p
240,240,1989-07-31,141049581,356000,d
241,241,2003-03-02,692035366,1466000,d
242,242,1978-05-22,441282757,1630000,p
243,243,1983-01-09,635984855,1070000,p
244,244,1991-12-23,33648718,338000,p
245,245,1998-11-11,389199901,1428000,p
246,246,2013-07-06,166446852,315000,a
247,247,2012-01-31,288040934,1488000,a
248,248,1999-05-10,227316495,811000,p
249,249,1993-08-04,620249598,384000,p
250,250,1992-10-28,409223468,269000,d
251,251,2013-07-07,84601397,1750000,d
252,252,2016-06-26,552706056,340000,p
253,253,2007-05-07,764542412,268000,p
254,254,1980-11-02,39483936,388000,p
255,255,1982-11-07,213368481,480000,a
256,256,2011-04-11,673070146,532000,p
257,257,1980-09-19,229861940,605000,d
258,258,1982-12-17,58225154,658000,d
259,259,2007-06-08,601083678,584000,a
260,260,1982-01-20,419701181,1897000,a
261,261,2010-05-18,395162294,1610000,a
262,262,1992-06-04,418463826,1012000,a
263,263,1988-03-12,229863784,723000,a
264,264,1982-07-27,427315279,764000,a
265,265,1991-01-23,558910328,538000,d
266,266,2011-11-15,5826513,737000,d
267,267,1991-02-23,291602346,1801000,a
268,268,1997-10-27,555893769,1131000,d
269,269,1991-03-09,250098840,237000,p
270,270,2014-09-06,335845209,1966000,p
271,271,2010-07-29,251755823,480000,d
272,272,2010-08-17,311687207,237000,p
273,273,1988-11-05,527047027,1095000,p
274,274,2004-12-10,8747262,598000,d
275,275,1993-10-22,579985366,782000,a
276,276,1980-02-18,630300473,1993000,a
277,277,1985-05-28,573753831,274000,d
278,278,1980-04-16,668012620,1304000,p
279,279,2002-08-09,637148484,1459000,d
280,280,1992-10-06,403315459,1365000,d
281,281,2001-05-14,357808177,1506000,p
282,282,2004-09-04,44183891,759000,d
283,283,1994-02-25,595546543,293000,a
284,284,1991-03-27,473629979,1237000,p
285,285,2004-02-08,272925077,431000,a
286,286,1983-07-16,480122420,846000,d
287,287,2013-01-07,680486138,1145000,d
288,288,1990-04-16,621141364,288000,a
289,289,1982-12-29,79809726,1515000,p
290,290,2016-04-11,64035371,1270000,a
291,291,2001-03-12,578097983,264000,d
292,292,1990-07-21,623829926,610000,a
293,293,2013-05-25,342802953,773000,a
294,294,1979-11-04,310643643,1136000,a
295,295,1994-04-26,235866222,347000,p
296,296,1988-07-22,222402478,330000,a
297,297,1999-10-14,657189413,1236000,p
298,298,2011-10-06,9344137,966000,a
299,299,1984-05-12,691030423,1476000,d
300,300,2007-05-04,403823130,217000,p
301,301,1994-05-16,431611689,368000,p
302,302,2004-09-15,570207115,1398000,d
303,303,1992-01-16,411118733,1841000,d
304,304,1991-06-11,405421065,1068000,a
305,305,1981-03-07,641342686,1929000,p
306,306,1978-09-23,769387733,1085000,a
307,307,1981-11-18,484065877,1820000,p
308,308,2010-01-29,339206296,1142000,a
309,309,1998-08-03,585663679,1363000,p
310,310,2010-06-08,624413575,1257000,a
311,311,1987-07-12,667308304,838000,d
312,312,1978-05-16,322468527,643000,d
313,313,2010-12-05,548691008,420000,d
314,314,1994-07-11,43489596,1143000,a
315,315,2003-11-19,467923517,499000,d
316,316,1999-03-25,602526227,781000,p
317,317,2003-04-02,593814600,1223000,p
318,318,1981-02-26,577107603,1044000,a
319,319,2016-08-27,562301659,615000,p
320,320,1995-10-03,494263090,997000,p
321,321,2008-05-27,670241413,630000,p
322,322,2009-12-31,427033580,519000,d
323,323,1979-12-06,124561247,219000,p
324,324,1989-09-04,325828834,1564000,d
325,325,2015-05-19,694031193,1239000,a
326,326,2012-12-26,665077545,1429000,d
327,327,2016-08-16,16506665,657000,a
328,328,2005-04-20,398760918,644000,a
329,329,2007-11-10,326566031,785000,d
330,330,1981-10-18,635668325,299000,p
331,331,1983-04-12,629624083,1783000,a
332,332,2007-10-14,530551247,1300000,a
333,333,1979-09-10,655223508,1225000,a
334,334,2010-02-11,453279392,496000,d
335,335,1996-06-26,462014692,1301000,d
336,336,1983-11-05,311547164,298000,a
337,337,1997-12-08,508444095,557000,a
338,338,1999-06-28,560424622,515000,a
339,339,2005-02-26,554032516,721000,p
340,340,1986-11-03,321046982,1256000,p
341,341,2007-09-15,478589394,1733000,p
342,342,2015-02-16,433441889,959000,a
343,343,1979-01-31,626056662,1803000,d
344,344,2001-11-26,161307520,1368000,a
345,345,2006-01-02,333349645,913000,p
346,346,2000-11-16,681018057,1465000,p
347,347,1986-12-24,682018977,218000,d
348,348,2013-11-08,465313691,455000,d
349,349,1988-06-24,460929548,1402000,d
350,350,2003-05-18,384867139,934000,p
351,351,1987-06-20,535586466,1628000,a
352,352,1990-04-22,632625234,835000,d
353,353,1982-01-28,568828640,1117000,d
354,354,1979-01-08,54522417,1492000,d
355,355,1989-04-15,639948309,1873000,a
356,356,2017-03-22,481884218,629000,p
357,357,2001-08-08,309304651,718000,d
358,358,1990-10-25,23526418,895000,a
359,359,1994-09-27,214344448,1099000,p
360,360,1984-01-06,608867500,1726000,a
361,361,1986-03-01,310749999,854000,a
362,362,1979-12-22,473281595,373000,a
363,363,2015-04-21,636867984,371000,d
364,364,2007-03-27,660055345,1425000,a
365,365,1996-03-24,645341148,1630000,p
366,366,1979-06-13,386225121,1309000,a
367,367,2010-12-30,13343814,1787000,a
368,368,2003-12-17,594011689,1289000,d
369,369,2000-12-17,616987785,439000,p
370,370,2014-04-06,457622290,405000,p
371,371,1990-06-08,499844007,1451000,p
372,372,2012-08-30,141647407,1090000,p
373,373,1992-10-19,450827158,1985000,p
374,374,2004-06-30,468133845,1261000,p
375,375,1989-10-02,527056853,992000,p
376,376,1997-10-13,589566532,791000,p
377,377,2015-03-17,367237234,843000,a
378,378,1980-05-16,531014249,1319000,a
379,379,1987-11-21,534474370,1998000,p
380,380,2017-06-15,175147119,1572000,d
381,381,1994-07-11,627021763,417000,a
382,382,2012-02-27,249070676,297000,a
383,383,1978-09-10,553897777,1345000,p
384,384,2005-04-25,409507070,1821000,d
385,385,2009-02-09,368527975,1847000,a
386,386,2005-10-16,187091160,1248000,a
387,387,2017-05-27,626077132,356000,p
388,388,2015-11-21,682038532,461000,p
389,389,1990-03-02,323989557,1909000,a
390,390,2015-04-26,368886029,561000,a
391,391,1982-06-07,352093831,1011000,a
392,392,1980-12-08,528400840,1685000,p
393,393,1984-08-27,331019255,1478000,d
394,394,2010-10-14,230352037,360000,p
395,395,2001-12-13,593836489,542000,a
396,396,2002-10-25,474387089,1203000,a
397,397,2000-05-16,49222986,993000,p
398,398,1992-05-16,299566307,599000,a
399,399,2017-03-04,430884647,1171000,p
400,400,2013-10-11,268058183,354000,a
401,401,2001-09-12,513193682,947000,a
402,402,1985-09-12,483723447,1517000,d
403,403,1986-01-05,316207714,393000,p
404,404,1989-03-10,671018816,617000,a
405,405,2015-07-04,298346968,1788000,p
406,406,1985-05-16,425627296,1994000,p
407,407,2004-08-10,10180237,1662000,d
408,408,1983-08-28,216963519,1188000,d
409,409,1981-07-09,218927750,610000,p
410,410,2009-11-12,246039934,1487000,d
411,411,1993-10-31,466977610,1409000,d
412,412,1998-08-31,441626257,966000,a
413,413,2013-11-25,555979321,1651000,d
414,414,1983-08-31,448965994,779000,p
415,415,2014-01-12,131012465,1903000,a
416,416,1980-10-13,340220573,1398000,p
417,417,1990-05-18,281407772,1613000,p
418,418,1989-02-01,354016609,611000,p
419,419,2017-10-08,239403621,1380000,a
420,420,2008-01-07,545219172,499000,a
421,421,1978-11-28,620940414,1849000,p
422,422,2009-05-25,16684219,1637000,p
423,423,1985-11-24,336164231,877000,a
424,424,2000-05-12,442121607,1286000,a
425,425,2004-08-29,512153626,1992000,d
426,426,1987-08-01,530037832,1506000,a
427,427,2010-05-02,591105977,1498000,p
428,428,1982-09-24,414616205,1180000,p
429,429,1982-06-01,144749407,1806000,d
430,430,1999-10-07,309820541,1038000,d
431,431,1992-03-17,265023613,1621000,a
432,432,1988-06-06,503060518,771000,d
433,433,1979-04-14,178073862,1053000,p
434,434,1994-01-27,275465282,744000,a
435,435,1990-09-04,474051206,1542000,a
436,436,1993-04-23,564362422,1123000,d
437,437,1987-11-12,751017437,1250000,p
438,438,1996-06-27,337021488,714000,d
439,439,2015-11-07,677036540,1722000,d
440,440,2006-10-19,590859240,1199000,d
441,441,1980-08-21,370098264,1469000,p
442,442,2006-06-19,644385121,500000,p
443,443,1996-08-05,669073222,1072000,a
444,444,1997-01-13,607107087,1540000,p
445,445,2006-08-16,656206342,394000,a
446,446,1999-11-06,379229645,1403000,p
447,447,1995-05-22,403315533,1080000,d
448,448,1994-01-14,558139950,1985000,p
449,449,1994-06-09,591150853,1142000,p
450,450,2013-06-27,297927087,1682000,a
451,451,2015-12-25,226385657,540000,a
452,452,1992-09-11,349070435,1122000,a
453,453,1983-07-23,616984758,1109000,a
454,454,2008-07-25,464745360,575000,a
455,455,1995-05-08,561519317,1681000,p
456,456,2012-11-11,556166972,1533000,a
457,457,2016-11-18,620236603,1418000,a
458,458,2013-01-09,636142385,1654000,p
459,459,2015-05-16,490218343,1432000,d
460,460,2015-01-02,357724547,1621000,a
461,461,2011-10-21,686039138,1411000,d
462,462,2009-04-27,660059053,410000,a
463,463,1990-12-08,631928810,1913000,p
464,464,2011-12-24,589088001,220000,d
465,465,1993-07-18,2421789,270000,d
466,466,2009-02-27,595109610,1649000,p
467,467,2001-11-14,476351819,635000,p
468,468,2008-01-28,62104803,1807000,a
469,469,1982-08-08,113242688,306000,d
470,470,2013-08-01,448581946,988000,a
471,471,1995-07-05,430254662,659000,a
472,472,2008-03-23,269368083,1830000,a
473,473,1987-09-21,544564555,609000,p
474,474,1990-11-10,674125321,667000,d
475,475,2003-05-13,322288538,538000,p
476,476,2013-10-02,34484276,581000,d
477,477,1980-04-23,273226548,1931000,p
478,478,1981-09-06,304969950,223000,d
479,479,2004-02-26,420373187,565000,p
480,480,2006-02-23,470311304,1103000,d
481,481,1979-08-09,308130981,1433000,p
482,482,2000-12-19,413721179,268000,d
483,483,2017-06-14,161561381,956000,d
484,484,2011-01-21,20448972,618000,p
485,485,2001-09-11,507459033,1780000,p
486,486,1998-05-04,522587202,1413000,d
487,487,1987-06-20,404380335,1991000,p
488,488,1978-12-06,451884293,481000,p
489,489,1998-08-05,26602063,1123000,d
490,490,1988-12-15,40040861,941000,a
491,491,1991-09-22,611269687,935000,p
492,492,2013-02-28,137380843,844000,p
493,493,2016-05-28,140646276,1655000,p
494,494,2002-10-16,328226435,1376000,a
495,495,1994-12-15,504500291,508000,p
496,496,1982-08-24,150066414,1568000,d
497,497,1986-09-07,172469801,1938000,d
498,498,1979-06-27,628665613,1843000,d
499,499,1984-09-21,215520966,480000,p
500,500,1988-08-24,759012788,864000,d
501,501,1992-04-04,592316844,490000,p
502,502,2011-07-26,562498332,1138000,p
503,503,2007-01-17,496031585,1053000,p
504,504,1992-05-06,362545588,312000,p
505,505,2010-01-01,464445346,202000,p
506,506,2015-06-30,627582356,1994000,p
507,507,2006-01-28,697031234,402000,d
508,508,1994-05-12,262804961,820000,d
509,509,1999-01-12,765481552,364000,a
510,510,1986-02-22,697013997,937000,d
511,511,1998-12-18,448103799,1099000,a
512,512,1990-02-20,518043344,981000,p
513,513,2009-07-02,511132187,1316000,d
514,514,1998-05-22,423786713,687000,d
515,515,1979-05-16,247249406,1938000,p
516,516,1997-02-19,392528085,1158000,a
517,517,2006-08-23,472303677,1285000,p
518,518,2007-11-24,696012912,1179000,a
519,519,2006-04-27,18662007,1525000,d
520,520,1992-05-26,372986916,1884000,a
521,521,1978-02-05,478487623,1450000,a
522,522,1988-06-23,685056921,631000,a
523,523,1985-12-07,628805345,323000,a
524,524,2010-05-20,569666590,1757000,p
525,525,1981-07-01,488389316,1041000,a
526,526,2009-01-27,401823402,1146000,d
527,527,2013-08-29,74182375,1382000,a
528,528,2004-11-05,219598577,789000,a
529,529,2008-03-02,537205673,1171000,a
530,530,2011-05-27,675109043,938000,d
531,531,2011-10-06,768369383,1228000,p
532,532,2016-12-01,392174130,1351000,d
533,533,2000-05-10,547327751,1547000,p
534,534,1980-11-18,455666364,233000,d
535,535,1996-06-16,538513707,1695000,p
536,536,2005-12-17,531253380,721000,d
537,537,1991-09-04,551754841,771000,d
538,538,1988-12-23,18744472,1001000,a
539,539,2003-08-25,328463083,1150000,p
540,540,2003-08-31,384843533,1689000,a
541,541,1998-09-02,368108726,622000,p
542,542,2013-07-16,629984087,641000,a
543,543,2004-07-09,426434911,1604000,p
544,544,2011-03-22,247658958,1741000,a
545,545,2009-11-10,385090556,1803000,a
546,546,2011-08-16,534643967,862000,d
547,547,1979-05-23,225930829,789000,p
548,548,1999-10-09,428392734,812000,d
549,549,1999-01-26,464721411,1780000,a
550,550,1993-11-18,361033544,817000,d
551,551,1979-08-29,290301944,943000,a
552,552,2011-01-28,315012469,477000,a
553,553,2013-04-19,365159585,1568000,d
554,554,1995-01-13,674120297,507000,a
555,555,1980-03-05,656050707,896000,d
556,556,1984-06-24,206723655,340000,d
557,557,2001-10-25,539869344,1797000,d
558,558,2009-03-16,261481026,1839000,d
559,559,1995-02-01,365016708,1048000,a
560,560,1988-11-18,769181578,1433000,a
561,561,1985-10-06,170079040,1459000,a
562,562,2009-11-25,16051081,548000,d
563,563,2008-10-06,95644511,405000,a
564,564,1999-03-22,634180050,1652000,d
565,565,1979-09-25,676034032,1713000,p
566,566,2008-01-22,8309117,1206000,p
567,567,1986-06-21,574840305,936000,a
568,568,1990-11-06,342403425,1923000,a
569,569,1986-10-06,5809611,953000,a
570,570,1990-01-20,640109767,207000,d
571,571,1987-06-29,600368921,1313000,a
572,572,1989-10-28,298400896,630000,a
573,573,1983-11-03,768505666,1805000,a
574,574,1988-06-04,147621299,1841000,d
575,575,1997-12-02,148382439,1740000,d
576,576,1982-01-01,29037322,1400000,a
577,577,2008-07-05,317527217,1980000,p
578,578,1994-06-28,444042848,1894000,p
579,579,2016-02-18,615600529,1602000,a
580,580,2012-02-21,217244931,989000,p
581,581,1985-03-27,678099740,1808000,a
582,582,2014-04-22,157707428,1241000,p
583,583,1987-06-30,461520630,1059000,p
584,584,1979-05-27,382425806,227000,p
585,585,1988-08-28,585091574,307000,d
586,586,1989-08-27,213459031,1401000,p
587,587,2011-04-04,645300806,1411000,p
588,588,2013-10-10,106721853,1219000,a
589,589,1997-02-09,694030301,1080000,d
590,590,2007-11-15,248369279,427000,a
591,591,1986-05-13,221561489,1692000,p
592,592,1980-04-27,392709919,402000,d
593,593,2005-06-16,562580970,726000,d
594,594,1991-01-01,407127856,1218000,a
595,595,2007-05-04,521598788,445000,p
596,596,1987-07-06,500214556,763000,d
597,597,1986-06-29,539078269,834000,a
598,598,2003-11-14,462395111,1224000,d
599,599,2008-10-11,398243975,1642000,d
600,600,1979-11-05,447506535,1814000,d
601,601,1984-09-27,6040967,425000,p
602,602,1988-03-25,313803992,280000,p
603,603,1982-11-25,698038055,362000,p
604,604,1984-03-18,212148027,1639000,a
605,605,2017-09-24,80059932,525000,a
606,606,1989-11-25,9406503,1113000,p
607,607,1982-10-31,555948953,1424000,p
608,608,2013-04-09,265593476,1325000,p
609,609,1981-05-19,517316192,1625000,d
610,610,2013-03-16,270408162,1080000,a
611,611,1978-04-06,75860346,1482000,a
612,612,2008-03-26,507943025,846000,d
613,613,1994-09-06,230658198,1587000,a
614,614,2004-10-09,417645121,1853000,a
615,615,2001-01-23,267668815,562000,p
616,616,2015-06-17,317827223,1464000,a
617,617,1988-09-06,369164452,1501000,p
618,618,2015-02-27,10201538,235000,p
619,619,1998-05-20,496649714,1134000,p
620,620,1993-06-23,356424401,1860000,p
621,621,1983-03-19,551394962,1579000,a
622,622,1980-04-04,604881981,245000,p
623,623,2016-02-13,303027618,1412000,d
624,624,1995-10-27,214597405,1236000,a
625,625,2017-08-08,621688156,516000,a
626,626,2017-07-19,696037652,1375000,d
627,627,1989-05-22,695011100,558000,a
628,628,2010-11-09,283122451,726000,a
629,629,1992-12-30,682107642,278000,a
630,630,2014-09-12,180328412,422000,a
631,631,1981-11-15,561268341,1219000,d
632,632,1991-09-23,217272351,1848000,a
633,633,2013-04-12,524290160,1732000,d
634,634,2005-05-20,565302875,1144000,p
635,635,2013-12-06,37546278,1415000,a
636,636,1988-05-30,77267446,1829000,d
637,637,2014-04-10,508309215,1085000,a
638,638,2008-08-28,533686820,1415000,a
639,639,1983-02-11,246607157,1804000,d
640,640,1989-07-17,164345052,1059000,a
641,641,1996-07-24,275070103,1937000,p
642,642,2013-12-20,214228200,943000,a
643,643,1992-06-06,74583653,1179000,p
644,644,1999-10-13,21205251,1841000,d
645,645,1997-08-11,650247642,1572000,p
646,646,1993-02-23,538023953,1849000,d
647,647,1983-09-01,680326611,1084000,p
648,648,1985-03-25,469264817,1448000,p
649,649,1987-09-25,219044782,1989000,a
650,650,1997-06-02,762010442,272000,p
651,651,1978-12-13,398226591,1945000,d
652,652,1983-04-26,650149945,646000,p
653,653,2013-03-09,692014403,1676000,a
654,654,1984-05-30,214113319,805000,a
655,655,2009-09-06,632509344,1791000,a
656,656,1981-02-14,538066583,1957000,p
657,657,2012-06-03,574468384,1602000,p
658,658,2007-10-04,601772953,1047000,d
659,659,2005-07-18,463584685,1291000,a
660,660,2006-12-12,262080013,427000,a
661,661,1978-01-29,363625283,1549000,p
662,662,2004-10-03,466057676,234000,d
663,663,1988-10-24,663098635,300000,d
664,664,1984-01-10,554061325,1449000,d
665,665,2005-07-02,539720034,746000,d
666,666,1993-07-15,698014449,1522000,p
667,667,2001-01-14,503569437,903000,d
668,668,2007-01-10,385400061,1888000,a
669,669,2007-08-27,482664592,880000,d
670,670,2010-10-06,361987432,295000,d
671,671,1985-04-30,475421505,1123000,a
672,672,2002-03-24,551948399,995000,p
673,673,2003-04-28,421431060,960000,a
674,674,2017-04-24,578125864,317000,p
675,675,2011-07-14,502741594,1557000,p
676,676,2015-12-17,288114893,557000,p
